Year,Item Name,Supply,Supply Price (USD/oz),Demand,Demand Price (USD/oz)
2010,Gold,,1225,4193.5,1225
2011,Gold,4525.5,1572,4780.1,1572
2012,Gold,4549.1,1669,4700.8,1669
2013,Gold,4335.9,1411,4503.8,1411
2014,Gold,4508,1266,4414.9,1266
2015,Gold,4448.8,1160,4350.0,1160
2016,Gold,4785.6,1251,4476.9,1251
2017,Gold,4664.8,1257,4261.8,1257
2018,Gold,4772.9,1268,4412.8,1268
2019,Gold,4878.4,1393,4329.5,1393
2020,Gold,4723.5,1770,,
